;;;;;;;;;;;;;;;;;;;Test Design technique;;;;;;;;;;;;;;;;;;;;;;;;;Testing Practice;;;;;;;;;;;;Testing level;;;;;;Testing Type;;;;;;;;;;;;;;;;;;;
Country;Geographic Area;University;Degree Name;Degree Level;Link to degree page;Course Name;Course Year;Link;Scientific Field;#EC;Type;#Hours;Theory Hours;Lab Hours;Focus on Testing;Assessment Methods;Language;Reference Books;Specification Based; Equivalence Partitioning; Classification tree method; Boundary value analysis; Syntax testing; Combinatorial testing; Decision table testing; Cause-effect graphing; State transition testing; Scenario testing; Use case testing; Random testing; Metamorphic testing; Requirements-based testing; Structure Based; Statement testing; Branch testing; Decision testing; Branch condition testing; Branch condition combination testing;MC/DC testing; Data flow testing; Experience Based; Error guessing;Other;Model-based testing; Scripted testing; Exploratory testing; Experience-based testing; Manual testing;A/B testing; Back-to-back testing; Mathematical-based testing; Fuzz testing; Keyword-driven testing; Automated testing;Other;Unit testing; Integration testing; System testing; System integration testing; Acceptance testing; Other;Functional testing; Accessibility testing; Compatibility testing; Conversion testing;Disaster recover testing; Installability testing; Interoperability testing; Localization testing; Maintainability testing; Performance related testing; Portability testing; Procedure testing; Reliability testing; Security testing; Usability testing; Other;;;;
;EU/America/Asia/Other;;;Bachelor/Laurea/Other;;;;;CS/CE/other;;Theory/Lab/Both;;;;ST /NST;Open questions/Closed questions/Exercises/Homeworks/Project/Discussion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Belgium;EU;UAntwerpen;Master of Computer Science: Software Engineering;Master;https://www.uantwerpen.be/en/study/programmes/all-programmes/master-software-engineering/study-programme/;Software testing;1;https://ansymore.uantwerpen.be/courses/software-testing;CS;6;Both;45;6;16;ST;Open questions,Project;English;Software Testing: A Craftsman’s Approach, Fourth Edition 4th Edition by Paul C. Jorgensen & Practical Test Design: Selection of traditional and automated test design techniques by István Forgács, Attila Kovács;X;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Italy;EU;Milano Bicocca unimib;Computer Science;Master;https://elearning.unimib.it/course/index.php?categoryid=8961;Software Quality;1;https://elearning.unimib.it/course/info.php?id=44607;CS;6;Both ;52;N/A;N/A;ST;Written Exercises,Discussion;English;Mauro Pezzè and Michal Young, Software Testing and Analysis, process, principle and techniques, John Wiley 2007;X;X;;;X;;X;;X;;;X;;;X;X;X;X;X;X;;X;;;x;X;;;;;;;;;;;;X;X;X;X;X;;X;;;;;;;;;;;;;;;;;;;
Italy;EU;Napoli unina;ComputerEngineering;Master;https://www.ingegneria-informatica.unina.it/index.php/it/corsi-di-laurea/laurea-magistrale-m63/insegnamenti-m63/2-non-categorizzato/297-insegnamenti-m63-2223;Software Testing;1;https://www.ingegneria-informatica.unina.it/index.php/it/corsi-di-laurea/laurea-magistrale-m63/insegnamenti-m63/15-insegnamenti-lm/322-soft-test;CE;6;Both;48;36;12;ST;Project,Discussion;English;Ammann and Offutt, Introduction to Software Testing;X;X;;X;;X;X;X;;;;X;;X;X;X;X;X;X;X;X;;X;;;X;X;X;X;X;;;;X;;X;;X;X;X;;X;;X;;;;;;;;;;;;;;;;;;;
Italy;EU;Firenze unifi;Computer Science;Master;https://www.informaticamagistrale.unifi.it/vp-95-insegnamenti.html;Advanced Programming Techniques;1;https://www.informaticamagistrale.unifi.it/p-ins2-2022-632203-1.html;CS;6;Both;48;N/A;N/A;ST;Homework,Discussion;English;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;x;X;;X;;;;X;;;;;;;;;;;;;;;;;;;
Portugal;EU;University of Porto ;"Master in Software Engineering
Master in Informatics and Computing Engineering ";Master;"https://sigarra.up.pt/feup/en/CUR_GERAL.CUR_VIEW?pv_ano_lectivo=2023&pv_origem=CUR&pv_tipo_cur_sigla=M&pv_curso_id=10861
https://sigarra.up.pt/feup/en/CUR_GERAL.CUR_VIEW?pv_ano_lectivo=2023&pv_origem=CUR&pv_tipo_cur_sigla=M&pv_curso_id=22862
";Software Testing, Verification and Validation;2;"https://sigarra.up.pt/feup/en/ucurr_geral.ficha_uc_view?pv_ocorrencia_id=518488
https://sigarra.up.pt/feup/en/UCURR_GERAL.FICHA_UC_VIEW?pv_ocorrencia_id=518845
";CE;6;Both;42;19,5;19,5;ST;"Exercises,
Project,Open questions";English;"Aditya P. Mathur; Foundations of Software Testing, 2013. ISBN: 9789332517660
Maurício Aniche; Effective software testing, 2022. ISBN: 978-1-633-43993-1
Paul Ammann; Introduction to software testing. ISBN: 978-1-107-17201-2
Mark Utting; Practical Model-Based Testing, 2007. ISBN: 978-0-12-372501-1
Paul C. Jorgensen; Software Testing A Craftsman's Approach, 2013. ISBN: 978-1-466-56069-7
Dorothy Graham, Rex Black, Erik van Veenendaal; Foundations of Software Testing: ISTQB Certification, 2020. ISBN: 978-1-473-76479-8
Ilene Burnstein; Practical Software Testing, 2003. ISBN: 978-0-387-95131-7
Gordon Fraser and José Miguel Rojas; Software Testing, 2019. ISBN: 978-3-030-00262-6
Tomek Kaczanowski; Bad Tests, Good Tests, 2013. ISBN: 978-8-393-84713-6
Kent Beck; Test Driven Development: By Example, 2002. ISBN: 978-0-321-14653-3
Petar Tahchiev, Felipe Leme, Vincent Massol, and Gary Gregory; JUnit 4.8 In Action, 2010. ISBN: 978-1-935-18202-3
Chak Shun Yu, Christoph Treude, Maurício Aniche; Comprehending Test Code: An Empirical Study, 2019. ISBN: 978-1-7281-3095-8
Michal Young and Mauro Pezzè; Software testing and analysis: process, principles, and techniques, 2008. ISBN: 978-0-471-45593-6";x;x;;x;;x;x;x;x;;;x;;;x;x;x;x;x;x;x;x;;;x;x;x;;;x;;;;;;x;;x;x;x;x;x;;x;;;;;;;;;;;;;;;x;;;;
Portugal;EU;Instituto Superior Técnico, University of Lisbon;Master in Computer Science and Engineering;Master;https://fenix.tecnico.ulisboa.pt/cursos/meic-a;Software Testing and Validation;1;https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778811;CE;6;Both ;49;28;21;ST;Open questions,Project ;English;"Recommended Bibliography
Software Testing: A Craftsman's Approach, 4th edition.  : Paul Jorgensen 2013 Auerbach Publications
Testing Object-Oriented Systems: Models, Patterns, and Tools";x;x;;x;;;x;;x;;;x;;;x;x;x;x;x;x;x;x;;;x;;;;;;;;;;;x;;x;x;x;;;;;;;;;;;;;x;;;;x;;x;;;;
Portugal;EU;University of Coimbra;Master in Informatics Engineering;Master;https://apps.uc.pt/courses/EN/programme/5041/2022-2023?id_branch=20326;Software Quality and Dependability;1;https://apps.uc.pt/courses/EN/unit/79302/20326/2023-2024?type=ram&id=5041;CE;6;Both ;N/A;N/A;N/A;ST;Open questions,Project;"English
Portuguese";- Paul Ammann and Jeff Offutt, ―Introduction to Software Testing‖, Cambridge University Press, 2008. - Mordechai Ben-Ari, ―Principles of the Spin Model Checker‖, Springer, 2008. - Stephen H. Kan, ―Metrics and Models in Software Quality Engineering‖, Addison-Wesley Professional, 2003. - Mordechai Ben-Menachem, Garry S. Marliss, ―Software Quality: Producing Practical, Consistent Software‖, International Thomson Computer Press, 1997.;X;;;;;;;;;;;;;;X;;;;;;;;;;;X;;;;;;;;;;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;
Portugal;EU ;University of Coimbra;Master in Software Engineering;Master;https://apps.uc.pt/courses/EN/course/10162/2023-2024;Analysis of Software Artifacts;1;https://apps.uc.pt/courses/EN/unit/89048/22524/2023-2024?common_core=true&type=ram&id=10162;CE;6;Both;N/A;N/A;N/A;ST;Project,Discussion;"English
Portuguese";"Design Patterns Explained;

Buechner, Test Case Design Using the Classification Tree

Method; Conrad, A Systematic Approach to Testing Automotive Control Software.";x;X;;X;;X;;;;;;;;;X;;;;;;;X;;;x;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Portugal;EU ;University of Coimbra;Masters in Informatics Security;Master;https://apps.uc.pt/courses/EN/programme/7281/2023-2024?id_branch=18601#branch-18601;Design and Development of Secure Software;1;https://apps.uc.pt/courses/EN/unit/85443/18601/2023-2024?common_core=true&type=ram&id=7281;CE;6;Both;N/A;N/A;N/A;NSt;Project,Discussion;"Portuguese
English";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;
Spain;EU;UPV;Computer science;Master;http://www.upv.es/titulaciones/MUITSS/indexc.html;Software testing;2;http://www.upv.es/titulaciones/MUITSS/menu_1013904c.html;CS;2;both;20;10;10;ST;Project;Spanish;Structured software testing. T. Vos and  N. van Vugt-Hage;X;x;x;x;;x;x;;x;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
Spain;EU;Universidad Politécnica de Madrid;Computer Science;Master;https://muss.fi.upm.es/index.php;Software validation and verification;1;https://muss.fi.upm.es/asigVVS.php;CS;4;both;40;32;8;ST;Open Questions,Written Exercises;English;"B. Beizer: ""Software Testing Techniques"", 2ª Edición. 1990.
G. J. Myers: ""The Art of Software Testing"", 2ª Edición. Wiley. 2004.
P. C. Jorgensen: ""Software Testing. A Craftsman’s Approach"". CRC Press, 1995.
C. Kaner, J. Falk, H. Q. Nguyen: ""Testing Computer Software"". Wiley, 1999.
W. E. Perry: ""Effective methods for software testing"". 3ª edición. Wiley. 2006.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;
Portugal;EU;Universidade de Aveiro;1st cycle degree in Informatics Engineering;Bachelor;https://www.ua.pt/en/course/383;Software Testing and Quality Control;3;https://www.ua.pt/en/uc/8109;CS;6;Both;45;15;30;ST;Open questions,Project ;Portuguese/English;"P. Farrell-Vinay, Manage Software Testing: Taylor & Francis, 2008. [Livro eletrónico, só para a rede da UA]
J. Humble and D. Farley, Continuous Delivery: Reliable Software Releases through Build, Test, and Deployment Automation: Pearson Education, 2010.
S. Naik and P. Tripathy, Software Testing and Quality Assurance: Theory and Practice, Wiley, 2008. 
J. Bloch, Effective Java, 2nd ed.: Addison-Wesley Professional, 2008.
R. Martin, Clean Code: A Handbook of Agile Software Craftsmanship. Prentice Hall; 2008.
R. Pressman and B. Maxim, Software Engineering: A Practitioner’s Approach, 8th ed. McGraw-Hill Science/Engineering/Math, 2014.";;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;X;;X;X;X;;;;;;;;;;;;;X;;;;;;;;;;
